380.00,367.03,55.00,52.00,209.32,47.00,40.55,60.00,54.53,47.48,1.85
355.00,367.05,50.00,52.25,209.46,39.00,41.06,51.00,54.77,47.85,1.85
363.00,365.62,54.00,51.87,208.56,42.00,40.72,56.00,54.56,47.58,1.84
375.00,366.48,55.00,52.17,209.13,45.00,41.12,56.00,54.70,47.84,1.85
396.00,369.24,60.00,52.90,210.88,49.00,41.86,62.00,55.38,48.55,1.86
355.00,367.27,47.00,52.21,209.55,38.00,41.27,51.00,54.70,47.92,1.85
380.00,369.79,59.00,53.16,211.28,47.00,42.21,60.00,55.47,48.77,1.86
361.00,369.81,47.00,52.67,211.05,40.00,42.35,51.00,55.11,48.66,1.86
354.00,368.33,49.00,52.32,210.13,39.00,42.03,50.00,54.63,48.27,1.85
356.00,367.15,47.00,51.82,209.29,39.00,41.75,51.00,54.28,47.95,1.85
387.00,371.28,63.00,53.72,212.30,57.00,44.04,57.00,55.27,49.59,1.86
363.00,369.58,51.00,52.92,211.06,39.00,43.26,54.00,54.97,49.05,1.86
382.00,371.45,59.00,54.35,212.71,46.00,43.84,62.00,56.31,50.01,1.86
369.00,371.25,53.00,54.24,212.55,39.00,43.39,56.00,56.30,49.78,1.86
377.00,371.79,59.00,54.69,213.04,46.00,43.63,60.00,56.65,50.08,1.86
375.00,370.65,57.00,54.25,212.26,45.00,43.27,58.00,56.39,49.77,1.86
361.00,369.78,47.00,53.73,211.56,39.00,43.02,52.00,56.03,49.47,1.86
355.00,366.85,47.00,52.59,209.53,39.00,42.21,53.00,55.31,48.69,1.84
371.00,367.20,53.00,52.61,209.71,43.00,42.27,56.00,55.36,48.75,1.84
387.00,369.03,61.00,53.39,211.02,51.00,43.08,63.00,56.07,49.51,1.85
355.00,366.55,49.00,52.53,209.34,37.00,42.00,49.00,54.90,48.39,1.84
374.00,365.69,55.00,52.44,208.87,46.00,42.19,60.00,55.20,48.63,1.84
355.00,366.27,51.00,52.88,209.38,38.00,41.87,51.00,54.71,48.23,1.85
356.00,365.31,48.00,52.42,208.67,36.00,41.32,49.00,54.17,47.68,1.84
359.00,364.70,51.00,52.28,208.29,37.00,40.90,48.00,53.58,47.18,1.85
384.00,368.14,58.00,53.73,210.74,47.00,42.07,60.00,54.71,48.33,1.86
354.00,366.08,51.00,53.26,209.47,39.00,41.53,49.00,53.70,47.55,1.85
380.00,367.52,58.00,53.76,210.44,47.00,42.25,56.00,54.10,48.11,1.86
365.00,367.31,52.00,53.61,210.26,44.00,42.42,51.00,53.81,48.05,1.86
391.00,369.51,61.00,54.29,211.71,51.00,43.23,63.00,54.66,48.88,1.86
372.00,368.89,62.00,54.83,211.66,48.00,43.50,56.00,54.23,48.80,1.86
368.00,370.13,55.00,55.23,212.48,42.00,43.85,50.00,54.08,48.90,1.87
355.00,367.42,48.00,54.20,210.61,39.00,43.16,45.00,52.53,47.78,1.86
370.00,367.63,57.00,54.45,210.84,47.00,43.51,52.00,52.46,47.92,1.86
352.00,366.17,49.00,53.94,209.85,39.00,43.09,44.00,51.66,47.31,1.86
350.00,363.48,50.00,53.05,208.06,38.00,42.17,46.00,50.36,46.20,1.85
365.00,362.66,56.00,53.04,207.65,43.00,41.78,49.00,49.66,45.66,1.85
353.00,360.82,48.00,52.31,206.36,38.00,41.18,43.00,48.62,44.84,1.85
357.00,360.44,52.00,52.27,206.15,38.00,40.88,44.00,48.17,44.46,1.85
352.00,359.64,53.00,52.33,205.78,38.00,40.60,44.00,47.77,44.12,1.85
384.00,363.63,60.00,53.53,208.38,46.00,41.56,52.00,48.51,44.97,1.87
