230.00,228.42,227.00,226.91,227.66,116.00,117.17,115.00,117.68,117.42,0.60,8288.00
229.00,229.11,227.00,227.71,228.40,114.00,117.63,113.00,117.88,117.76,0.60,8276.00
227.00,229.15,227.00,227.86,228.50,116.00,117.74,113.00,117.70,117.73,0.60,8252.00
228.00,228.85,228.00,227.64,228.24,115.00,117.41,112.00,117.18,117.30,0.60,8280.00
230.00,228.70,229.00,227.49,228.09,115.00,117.10,112.00,116.68,116.89,0.60,8292.00
227.00,228.39,227.00,227.05,227.72,115.00,116.65,113.00,115.91,116.28,0.60,8296.00
227.00,228.24,227.00,226.83,227.53,115.00,116.33,112.00,115.23,115.78,0.60,8304.00
228.00,228.44,228.00,227.03,227.73,115.00,116.17,113.00,114.84,115.50,0.61,8288.00
248.00,229.38,248.00,228.06,228.72,134.00,117.19,131.00,115.75,116.47,0.61,8284.00
227.00,229.00,227.00,227.76,228.38,115.00,116.89,113.00,115.41,116.15,0.61,8264.00
247.00,229.75,248.00,228.83,229.29,130.00,117.59,127.00,115.80,116.70,0.61,8332.00
240.00,230.10,243.00,229.46,229.77,127.00,118.01,126.00,116.14,117.07,0.61,8328.00
227.00,230.41,227.00,229.90,230.15,115.00,118.07,115.00,116.01,117.04,0.61,8260.00
244.00,231.00,246.00,230.64,230.81,127.00,118.51,125.00,116.45,117.48,0.61,8252.00
227.00,230.52,227.00,230.18,230.35,115.00,118.12,113.00,116.07,117.09,0.61,8248.00
227.00,229.78,227.00,229.37,229.57,115.00,117.36,115.00,115.64,116.50,0.61,8292.00
226.00,229.01,227.00,228.65,228.83,115.00,116.82,114.00,115.13,115.98,0.61,8272.00
225.00,228.16,227.00,228.13,228.14,115.00,116.29,115.00,114.76,115.52,0.61,8272.00
227.00,227.86,229.00,227.96,227.91,115.00,116.05,115.00,114.62,115.34,0.61,8268.00
249.00,228.90,255.00,229.35,229.12,135.00,117.14,135.00,115.81,116.48,0.61,8288.00
248.00,229.66,251.00,230.40,230.02,131.00,117.82,131.00,116.60,117.21,0.61,8304.00
243.00,230.08,247.00,230.98,230.53,129.00,118.33,127.00,117.14,117.74,0.61,8296.00
241.00,230.73,243.00,231.69,231.21,127.00,118.71,127.00,117.68,118.20,0.61,8292.00
240.00,231.05,243.00,232.13,231.59,127.00,119.10,127.00,118.14,118.62,0.61,8248.00
229.00,230.70,228.00,231.65,231.17,116.00,118.75,119.00,118.04,118.40,0.61,8248.00
230.00,230.17,232.00,231.08,230.62,119.00,118.36,118.00,117.68,118.02,0.61,8292.00
243.00,230.48,244.00,231.23,230.85,131.00,118.80,120.00,117.37,118.09,0.61,8260.00
229.00,229.69,228.00,230.46,230.07,116.00,118.21,116.00,116.90,117.55,0.61,8268.00
229.00,229.42,230.00,230.21,229.81,117.00,117.98,116.00,116.68,117.33,0.61,8288.00
249.00,230.37,252.00,231.28,230.82,135.00,118.94,135.00,117.73,118.34,0.61,8292.00
236.00,230.18,238.00,231.10,230.63,120.00,118.53,121.00,117.55,118.04,0.61,8260.00
251.00,230.80,255.00,231.86,231.32,135.00,119.16,126.00,117.90,118.53,0.61,8280.00
249.00,231.23,253.00,232.62,231.92,135.00,119.77,136.00,118.80,119.29,0.61,8260.00
225.00,230.61,231.00,232.28,231.44,118.00,119.50,120.00,118.72,119.11,0.61,8260.00
227.00,229.81,231.00,231.69,230.74,118.00,119.01,118.00,118.46,118.74,0.61,8696.00
229.00,229.16,231.00,231.16,230.15,117.00,118.51,120.00,118.36,118.43,0.60,8280.00
225.00,228.51,231.00,230.69,229.60,118.00,118.20,120.00,118.20,118.20,0.60,8292.00
228.00,227.96,231.00,230.28,229.11,116.00,117.74,121.00,118.20,117.97,0.60,8284.00
227.00,227.67,230.00,230.03,228.85,117.00,117.54,121.00,118.23,117.88,0.60,8296.00
226.00,227.09,233.00,229.77,228.43,118.00,117.30,121.00,118.28,117.79,0.60,8300.00
226.00,226.58,231.00,229.35,227.96,118.00,117.09,120.00,118.20,117.65,0.60,8292.00
227.00,226.19,229.00,228.98,227.58,118.00,116.91,119.00,118.07,117.49,0.60,8308.00
227.00,226.02,228.00,228.69,227.35,117.00,116.76,120.00,118.04,117.40,0.59,8316.00
227.00,225.85,230.00,228.54,227.19,118.00,116.69,120.00,118.01,117.35,0.59,8304.00
227.00,225.99,230.00,228.60,227.29,117.00,116.61,121.00,118.15,117.38,0.59,8280.00
229.00,226.96,231.00,229.61,228.28,118.00,117.48,121.00,119.20,118.34,0.59,8264.00
228.00,227.20,233.00,230.12,228.66,120.00,118.18,120.00,119.93,119.06,0.59,8260.00
229.00,227.09,231.00,229.94,228.51,120.00,118.15,121.00,119.85,119.00,0.59,8288.00
227.00,226.85,230.00,229.72,228.28,120.00,118.12,120.00,119.71,118.91,0.59,8300.00
228.00,226.55,231.00,229.48,228.01,118.00,117.93,121.00,119.63,118.78,0.59,8336.00
228.00,226.44,231.00,229.32,227.88,118.00,117.70,123.00,119.75,118.73,0.59,8324.00
228.00,226.35,230.00,229.23,227.79,120.00,117.76,121.00,119.79,118.77,0.59,8292.00
231.00,226.41,236.00,229.41,227.90,120.00,117.75,125.00,119.98,118.87,0.59,8324.00
227.00,226.21,231.00,229.27,227.74,120.00,117.74,122.00,119.96,118.85,0.59,8308.00
236.00,226.52,241.00,229.63,228.07,131.00,118.40,135.00,120.83,119.61,0.59,8304.00
228.00,226.25,231.00,229.34,227.79,119.00,118.12,121.00,120.68,119.40,0.59,8280.00
229.00,226.18,231.00,229.09,227.63,118.00,117.80,121.00,120.53,119.17,0.59,8320.00
231.00,226.25,233.00,229.09,227.67,120.00,117.79,122.00,120.47,119.13,0.59,8288.00
229.00,226.18,231.00,228.98,227.58,124.00,118.04,129.00,120.88,119.46,0.59,8328.00
231.00,226.08,233.00,228.89,227.48,121.00,118.06,122.00,120.66,119.36,0.59,8292.00
231.00,225.99,231.00,228.69,227.33,120.00,118.01,123.00,120.46,119.24,0.59,8288.00
248.00,227.04,252.00,229.77,228.40,121.00,117.91,124.00,120.42,119.17,0.59,8300.00
229.00,226.92,230.00,229.54,228.23,118.00,117.76,121.00,120.30,119.03,0.59,8260.00
235.00,227.18,235.00,229.65,228.41,121.00,117.82,124.00,120.39,119.10,0.59,8280.00
230.00,227.01,231.00,229.36,228.18,120.00,117.80,121.00,120.10,118.95,0.59,8308.00
231.00,226.92,235.00,229.29,228.10,120.00,117.66,121.00,119.91,118.78,0.59,8288.00
233.00,226.90,233.00,229.16,228.03,118.00,117.40,121.00,119.68,118.54,0.59,8296.00
231.00,226.92,231.00,229.04,227.97,118.00,117.29,120.00,119.54,118.42,0.59,8320.00
231.00,226.94,231.00,228.93,227.93,120.00,117.31,120.00,119.42,118.36,0.59,8304.00
231.00,227.69,231.00,229.67,228.68,119.00,118.15,120.00,120.11,119.13,0.59,8268.00
228.00,227.46,231.00,229.72,228.58,119.00,118.46,120.00,120.35,119.40,0.59,8280.00
231.00,227.37,235.00,229.78,228.57,120.00,118.23,120.00,120.00,119.12,0.59,8304.00
229.00,227.24,230.00,229.56,228.39,118.00,118.06,120.00,119.84,118.95,0.59,8312.00
229.00,227.12,233.00,229.53,228.32,118.00,117.90,120.00,119.70,118.80,0.59,8292.00
229.00,227.01,231.00,229.43,228.21,118.00,117.68,120.00,119.43,118.55,0.59,8324.00
227.00,226.73,233.00,229.51,228.12,119.00,117.55,118.00,119.07,118.31,0.59,8312.00
226.00,226.49,233.00,229.64,228.06,119.00,117.43,118.00,118.75,118.09,0.59,8316.00
231.00,226.54,238.00,229.91,228.22,120.00,117.45,120.00,118.68,118.06,0.60,8316.00
229.00,226.45,231.00,229.74,228.09,119.00,117.39,117.00,118.41,117.90,0.60,8308.00
228.00,226.19,233.00,229.56,227.87,118.00,117.18,118.00,117.93,117.55,0.60,8312.00
227.00,225.96,231.00,229.39,227.67,118.00,116.98,116.00,117.57,117.27,0.60,8316.00
229.00,225.88,231.00,229.14,227.50,117.00,116.75,116.00,117.13,116.94,0.60,8312.00
229.00,225.84,231.00,229.02,227.42,116.00,116.55,117.00,116.97,116.76,0.60,8304.00
238.00,226.34,243.00,229.63,227.98,128.00,117.15,128.00,117.54,117.34,0.60,8308.00
254.00,227.76,255.00,230.78,229.26,135.00,118.08,133.00,118.11,118.09,0.60,8304.00
252.00,228.78,254.00,231.73,230.25,134.00,118.71,134.00,118.67,118.69,0.60,8280.00
238.00,228.95,242.00,231.90,230.42,128.00,118.98,126.00,118.63,118.81,0.60,8252.00
230.00,228.78,233.00,231.73,230.25,118.00,118.76,114.00,118.17,118.46,0.60,8252.00
244.00,229.46,248.00,232.48,230.97,131.00,119.42,129.00,118.73,119.07,0.60,8264.00
235.00,229.26,236.00,232.09,230.67,118.00,118.75,116.00,118.02,118.39,0.61,8256.00
249.00,229.99,251.00,232.72,231.35,137.00,119.48,119.00,117.53,118.51,0.61,8272.00
